threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,experiment,model
0.5399999999999998,0.9834058759521219,0.9117647058823529,0.34831460674157305,0.5040650406504065,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.5499999999999998,0.9831338411316648,0.9090909090909091,0.33707865168539325,0.4918032786885246,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.5599999999999997,0.9823177366702938,0.9,0.30337078651685395,0.453781512605042,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.5699999999999997,0.9825897714907508,0.9310344827586207,0.30337078651685395,0.4576271186440678,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.5799999999999997,0.9825897714907508,0.9310344827586207,0.30337078651685395,0.4576271186440678,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.5899999999999997,0.9825897714907508,0.9629629629629629,0.29213483146067415,0.4482758620689655,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.5999999999999998,0.9820457018498367,0.96,0.2696629213483146,0.42105263157894735,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.6099999999999998,0.9817736670293797,0.9583333333333334,0.25842696629213485,0.40707964601769914,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.6199999999999998,0.9812295973884657,0.9545454545454546,0.23595505617977527,0.3783783783783784,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.6299999999999997,0.9809575625680087,0.9523809523809523,0.2247191011235955,0.36363636363636365,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.6399999999999997,0.9809575625680087,0.9523809523809523,0.2247191011235955,0.36363636363636365,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.6499999999999997,0.9809575625680087,0.9523809523809523,0.2247191011235955,0.36363636363636365,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.6599999999999997,0.9806855277475517,0.95,0.21348314606741572,0.3486238532110092,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.6699999999999997,0.9806855277475517,0.95,0.21348314606741572,0.3486238532110092,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.6799999999999997,0.9806855277475517,0.95,0.21348314606741572,0.3486238532110092,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.6899999999999997,0.9804134929270947,0.9473684210526315,0.20224719101123595,0.3333333333333333,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.6999999999999996,0.9801414581066377,0.9444444444444444,0.19101123595505617,0.3177570093457944,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.7099999999999996,0.9798694232861807,0.9411764705882353,0.1797752808988764,0.3018867924528302,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.7199999999999996,0.9798694232861807,0.9411764705882353,0.1797752808988764,0.3018867924528302,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.7299999999999996,0.9795973884657236,0.9375,0.16853932584269662,0.2857142857142857,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.7399999999999997,0.9795973884657236,0.9375,0.16853932584269662,0.2857142857142857,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.7499999999999997,0.9793253536452666,0.9333333333333333,0.15730337078651685,0.2692307692307692,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.7599999999999997,0.9795973884657236,1.0,0.15730337078651685,0.27184466019417475,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.7699999999999997,0.9793253536452666,1.0,0.14606741573033707,0.2549019607843137,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.7799999999999997,0.9793253536452666,1.0,0.14606741573033707,0.2549019607843137,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.7899999999999996,0.9793253536452666,1.0,0.14606741573033707,0.2549019607843137,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.7999999999999996,0.9787812840043526,1.0,0.12359550561797752,0.22,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.8099999999999996,0.9787812840043526,1.0,0.12359550561797752,0.22,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.8199999999999996,0.9785092491838956,1.0,0.11235955056179775,0.20202020202020202,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.8299999999999996,0.9785092491838956,1.0,0.11235955056179775,0.20202020202020202,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.8399999999999996,0.9779651795429815,1.0,0.0898876404494382,0.16494845360824742,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.8499999999999996,0.9774211099020674,1.0,0.06741573033707865,0.12631578947368421,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.8599999999999995,0.9766050054406964,1.0,0.033707865168539325,0.06521739130434782,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.8699999999999996,0.9766050054406964,1.0,0.033707865168539325,0.06521739130434782,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.8799999999999996,0.9763329706202394,1.0,0.02247191011235955,0.04395604395604396,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
0.8899999999999996,0.9760609357997824,1.0,0.011235955056179775,0.022222222222222223,0.9930491819711003,0.7896989492688841,0.010991677925424891,parking_only,random_forest
