candidate_id,family,config,threshold,rows,positive_rows,prevalence,precision,recall,f1,pr_auc,roc_auc,brier,tn,fp,fn,tp,is_selected_threshold
logistic_default,logistic_regression,class_weight=None,0.31,484,76,0.15702479338842976,0.675,0.7105263157894737,0.6923076923076923,0.7507669750470208,0.9307275541795665,0.07046530779424537,382,26,22,54,True
logistic_default,logistic_regression,class_weight=None,0.32,484,76,0.15702479338842976,0.6753246753246753,0.6842105263157895,0.6797385620915033,0.7507669750470208,0.9307275541795665,0.07046530779424537,383,25,24,52,False
logistic_default,logistic_regression,class_weight=None,0.33,484,76,0.15702479338842976,0.6666666666666666,0.6578947368421053,0.6622516556291391,0.7507669750470208,0.9307275541795665,0.07046530779424537,383,25,26,50,False
logistic_default,logistic_regression,class_weight=None,0.34,484,76,0.15702479338842976,0.6756756756756757,0.6578947368421053,0.6666666666666666,0.7507669750470208,0.9307275541795665,0.07046530779424537,384,24,26,50,False
logistic_default,logistic_regression,class_weight=None,0.35,484,76,0.15702479338842976,0.6712328767123288,0.6447368421052632,0.6577181208053692,0.7507669750470208,0.9307275541795665,0.07046530779424537,384,24,27,49,False
logistic_default,logistic_regression,class_weight=None,0.36,484,76,0.15702479338842976,0.6712328767123288,0.6447368421052632,0.6577181208053692,0.7507669750470208,0.9307275541795665,0.07046530779424537,384,24,27,49,False
logistic_default,logistic_regression,class_weight=None,0.37,484,76,0.15702479338842976,0.6901408450704225,0.6447368421052632,0.6666666666666666,0.7507669750470208,0.9307275541795665,0.07046530779424537,386,22,27,49,False
logistic_default,logistic_regression,class_weight=None,0.38,484,76,0.15702479338842976,0.7,0.6447368421052632,0.6712328767123288,0.7507669750470208,0.9307275541795665,0.07046530779424537,387,21,27,49,False
logistic_default,logistic_regression,class_weight=None,0.39,484,76,0.15702479338842976,0.7,0.6447368421052632,0.6712328767123288,0.7507669750470208,0.9307275541795665,0.07046530779424537,387,21,27,49,False
logistic_default,logistic_regression,class_weight=None,0.4,484,76,0.15702479338842976,0.7101449275362319,0.6447368421052632,0.6758620689655173,0.7507669750470208,0.9307275541795665,0.07046530779424537,388,20,27,49,False
logistic_default,logistic_regression,class_weight=None,0.41,484,76,0.15702479338842976,0.7313432835820896,0.6447368421052632,0.6853146853146853,0.7507669750470208,0.9307275541795665,0.07046530779424537,390,18,27,49,False
logistic_default,logistic_regression,class_weight=None,0.42,484,76,0.15702479338842976,0.7424242424242424,0.6447368421052632,0.6901408450704225,0.7507669750470208,0.9307275541795665,0.07046530779424537,391,17,27,49,False
logistic_default,logistic_regression,class_weight=None,0.43,484,76,0.15702479338842976,0.7384615384615385,0.631578947368421,0.6808510638297872,0.7507669750470208,0.9307275541795665,0.07046530779424537,391,17,28,48,False
logistic_default,logistic_regression,class_weight=None,0.44,484,76,0.15702479338842976,0.75,0.631578947368421,0.6857142857142857,0.7507669750470208,0.9307275541795665,0.07046530779424537,392,16,28,48,False
logistic_default,logistic_regression,class_weight=None,0.45,484,76,0.15702479338842976,0.7580645161290323,0.618421052631579,0.6811594202898551,0.7507669750470208,0.9307275541795665,0.07046530779424537,393,15,29,47,False
logistic_default,logistic_regression,class_weight=None,0.46,484,76,0.15702479338842976,0.7580645161290323,0.618421052631579,0.6811594202898551,0.7507669750470208,0.9307275541795665,0.07046530779424537,393,15,29,47,False
logistic_default,logistic_regression,class_weight=None,0.47,484,76,0.15702479338842976,0.7704918032786885,0.618421052631579,0.6861313868613139,0.7507669750470208,0.9307275541795665,0.07046530779424537,394,14,29,47,False
logistic_default,logistic_regression,class_weight=None,0.48,484,76,0.15702479338842976,0.7704918032786885,0.618421052631579,0.6861313868613139,0.7507669750470208,0.9307275541795665,0.07046530779424537,394,14,29,47,False
logistic_default,logistic_regression,class_weight=None,0.49,484,76,0.15702479338842976,0.7704918032786885,0.618421052631579,0.6861313868613139,0.7507669750470208,0.9307275541795665,0.07046530779424537,394,14,29,47,False
logistic_default,logistic_regression,class_weight=None,0.5,484,76,0.15702479338842976,0.7666666666666667,0.6052631578947368,0.6764705882352942,0.7507669750470208,0.9307275541795665,0.07046530779424537,394,14,30,46,False
logistic_default,logistic_regression,class_weight=None,0.51,484,76,0.15702479338842976,0.7796610169491526,0.6052631578947368,0.6814814814814815,0.7507669750470208,0.9307275541795665,0.07046530779424537,395,13,30,46,False
logistic_default,logistic_regression,class_weight=None,0.52,484,76,0.15702479338842976,0.7931034482758621,0.6052631578947368,0.6865671641791045,0.7507669750470208,0.9307275541795665,0.07046530779424537,396,12,30,46,False
logistic_default,logistic_regression,class_weight=None,0.53,484,76,0.15702479338842976,0.7894736842105263,0.5921052631578947,0.6766917293233082,0.7507669750470208,0.9307275541795665,0.07046530779424537,396,12,31,45,False
logistic_default,logistic_regression,class_weight=None,0.54,484,76,0.15702479338842976,0.7894736842105263,0.5921052631578947,0.6766917293233082,0.7507669750470208,0.9307275541795665,0.07046530779424537,396,12,31,45,False
logistic_default,logistic_regression,class_weight=None,0.55,484,76,0.15702479338842976,0.7894736842105263,0.5921052631578947,0.6766917293233082,0.7507669750470208,0.9307275541795665,0.07046530779424537,396,12,31,45,False
logistic_default,logistic_regression,class_weight=None,0.56,484,76,0.15702479338842976,0.7894736842105263,0.5921052631578947,0.6766917293233082,0.7507669750470208,0.9307275541795665,0.07046530779424537,396,12,31,45,False
logistic_default,logistic_regression,class_weight=None,0.57,484,76,0.15702479338842976,0.7894736842105263,0.5921052631578947,0.6766917293233082,0.7507669750470208,0.9307275541795665,0.07046530779424537,396,12,31,45,False
logistic_default,logistic_regression,class_weight=None,0.58,484,76,0.15702479338842976,0.7894736842105263,0.5921052631578947,0.6766917293233082,0.7507669750470208,0.9307275541795665,0.07046530779424537,396,12,31,45,False
logistic_default,logistic_regression,class_weight=None,0.59,484,76,0.15702479338842976,0.7962962962962963,0.5657894736842105,0.6615384615384615,0.7507669750470208,0.9307275541795665,0.07046530779424537,397,11,33,43,False
logistic_default,logistic_regression,class_weight=None,0.6,484,76,0.15702479338842976,0.8113207547169812,0.5657894736842105,0.6666666666666666,0.7507669750470208,0.9307275541795665,0.07046530779424537,398,10,33,43,False
