candidate_id,family,feature_set,fold,train_end,validation_end,train_rows,validation_rows,validation_positives,fit_seconds,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
rf_none_leaf1_depth12,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,8.375152499997057,0.3699999999999999,0.9912013536379018,0.825,0.6346153846153846,0.717391304347826,0.9790965579374122,0.749414698857643,0.008166079810903231
rf_none_leaf1_depth12,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,11.68505990000267,0.18999999999999995,0.9823177366702938,0.5952380952380952,0.8426966292134831,0.6976744186046512,0.9913514156927482,0.7806350191271734,0.01067891914852865
rf_none_leaf2_depthnone,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,6.795888799999375,0.4199999999999998,0.9938151041666666,0.7804878048780488,0.7619047619047619,0.7710843373493976,0.9964796479647966,0.7747086736538421,0.005333788210250525
rf_none_leaf2_depthnone,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,8.565862799994648,0.3799999999999999,0.9905245346869712,0.8157894736842105,0.5961538461538461,0.6888888888888889,0.9821669890564138,0.744977373673601,0.008346103008819609
rf_none_leaf2_depthnone,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,10.578839800000424,0.18999999999999995,0.9836779107725789,0.6239316239316239,0.8202247191011236,0.7087378640776699,0.9924383620001065,0.7903800473352675,0.01064359740747018
rf_none_leaf2_depth12,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,9.321738800004823,0.4099999999999998,0.9938151041666666,0.7804878048780488,0.7619047619047619,0.7710843373493976,0.9964796479647966,0.7733051307834679,0.005341575607602189
rf_none_leaf2_depth12,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,9.109349599995767,0.3599999999999999,0.9905245346869712,0.8,0.6153846153846154,0.6956521739130435,0.9821636768329846,0.7441731641477671,0.00838251625415913
rf_none_leaf2_depth12,random_forest,dynamics_history,3,2016-11-27 09:02:19,2016-12-08 12:25:24,21593,3676,89,11.340861699995003,0.18999999999999995,0.983949945593036,0.6293103448275862,0.8202247191011236,0.7121951219512195,0.9921815043712783,0.7898147567809479,0.01066848783825809
rf_none_leaf4_depthnone,random_forest,dynamics_history,1,2016-11-12 10:00:25,2016-11-19 13:31:17,15518,3072,42,7.148301100009121,0.29999999999999993,0.9921875,0.6730769230769231,0.8333333333333334,0.7446808510638298,0.9962281942479961,0.7650782038400509,0.0055747490524533485
rf_none_leaf4_depthnone,random_forest,dynamics_history,2,2016-11-19 13:31:17,2016-11-27 09:02:19,18616,2955,52,9.481030299997656,0.34999999999999987,0.9905245346869712,0.8,0.6153846153846154,0.6956521739130435,0.9890862238003126,0.7484492419667952,0.008404548162515981
