candidate_id,fold,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,brier
existing_random_forest,1,0.7999999999999996,0.9876302083333334,0.8333333333333334,0.11904761904761904,0.20833333333333334,0.9967153858242968,0.7655507436390627,0.005742281615793217
existing_random_forest,1,0.8099999999999996,0.9873046875,0.8,0.09523809523809523,0.1702127659574468,0.9967153858242968,0.7655507436390627,0.005742281615793217
existing_random_forest,1,0.8199999999999996,0.9873046875,0.8,0.09523809523809523,0.1702127659574468,0.9967153858242968,0.7655507436390627,0.005742281615793217
existing_random_forest,1,0.8299999999999996,0.9876302083333334,1.0,0.09523809523809523,0.17391304347826086,0.9967153858242968,0.7655507436390627,0.005742281615793217
existing_random_forest,1,0.8399999999999996,0.9873046875,1.0,0.07142857142857142,0.13333333333333333,0.9967153858242968,0.7655507436390627,0.005742281615793217
existing_random_forest,1,0.8499999999999996,0.9869791666666666,1.0,0.047619047619047616,0.09090909090909091,0.9967153858242968,0.7655507436390627,0.005742281615793217
existing_random_forest,1,0.8599999999999995,0.9866536458333334,1.0,0.023809523809523808,0.046511627906976744,0.9967153858242968,0.7655507436390627,0.005742281615793217
existing_random_forest,1,0.8699999999999996,0.9866536458333334,1.0,0.023809523809523808,0.046511627906976744,0.9967153858242968,0.7655507436390627,0.005742281615793217
existing_random_forest,1,0.8799999999999996,0.9866536458333334,1.0,0.023809523809523808,0.046511627906976744,0.9967153858242968,0.7655507436390627,0.005742281615793217
existing_random_forest,1,0.8899999999999996,0.9866536458333334,1.0,0.023809523809523808,0.046511627906976744,0.9967153858242968,0.7655507436390627,0.005742281615793217
existing_random_forest,1,0.8999999999999996,0.9866536458333334,1.0,0.023809523809523808,0.046511627906976744,0.9967153858242968,0.7655507436390627,0.005742281615793217
existing_random_forest,2,0.1,0.9824027072758037,0.5,0.7307692307692307,0.59375,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.11,0.9840947546531302,0.5352112676056338,0.7307692307692307,0.6178861788617886,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.12,0.9847715736040609,0.5507246376811594,0.7307692307692307,0.628099173553719,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.13,0.9861252115059221,0.5846153846153846,0.7307692307692307,0.6495726495726496,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.13999999999999999,0.9864636209813875,0.59375,0.7307692307692307,0.6551724137931034,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.14999999999999997,0.9868020304568528,0.6065573770491803,0.7115384615384616,0.6548672566371682,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.15999999999999998,0.988155668358714,0.6491228070175439,0.7115384615384616,0.6788990825688074,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.16999999999999998,0.988155668358714,0.6491228070175439,0.7115384615384616,0.6788990825688074,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.17999999999999997,0.9895093062605753,0.6981132075471698,0.7115384615384616,0.7047619047619048,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.18999999999999995,0.9895093062605753,0.6981132075471698,0.7115384615384616,0.7047619047619048,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.19999999999999996,0.9898477157360406,0.7115384615384616,0.7115384615384616,0.7115384615384616,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.20999999999999996,0.9905245346869712,0.74,0.7115384615384616,0.7254901960784313,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.21999999999999995,0.9905245346869712,0.74,0.7115384615384616,0.7254901960784313,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.22999999999999995,0.990186125211506,0.7346938775510204,0.6923076923076923,0.7128712871287128,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.23999999999999994,0.9895093062605753,0.723404255319149,0.6538461538461539,0.6868686868686869,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.24999999999999992,0.9891708967851099,0.717391304347826,0.6346153846153846,0.673469387755102,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.2599999999999999,0.9891708967851099,0.717391304347826,0.6346153846153846,0.673469387755102,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.2699999999999999,0.9891708967851099,0.7272727272727273,0.6153846153846154,0.6666666666666666,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.2799999999999999,0.9895093062605753,0.7441860465116279,0.6153846153846154,0.6736842105263158,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.2899999999999999,0.9898477157360406,0.7619047619047619,0.6153846153846154,0.6808510638297872,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.29999999999999993,0.9898477157360406,0.7619047619047619,0.6153846153846154,0.6808510638297872,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.30999999999999994,0.9898477157360406,0.7619047619047619,0.6153846153846154,0.6808510638297872,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.3199999999999999,0.9898477157360406,0.775,0.5961538461538461,0.6739130434782609,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.32999999999999985,0.9895093062605753,0.7692307692307693,0.5769230769230769,0.6593406593406593,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.33999999999999986,0.9891708967851099,0.7631578947368421,0.5576923076923077,0.6444444444444445,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.34999999999999987,0.9884940778341793,0.75,0.5192307692307693,0.6136363636363636,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.3599999999999999,0.9891708967851099,0.7941176470588235,0.5192307692307693,0.627906976744186,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.3699999999999999,0.9888324873096447,0.7878787878787878,0.5,0.611764705882353,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.3799999999999999,0.9888324873096447,0.7878787878787878,0.5,0.611764705882353,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.3899999999999999,0.9895093062605753,0.8387096774193549,0.5,0.6265060240963856,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.3999999999999998,0.9895093062605753,0.8387096774193549,0.5,0.6265060240963856,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.4099999999999998,0.9895093062605753,0.8387096774193549,0.5,0.6265060240963856,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.4199999999999998,0.9898477157360406,0.8666666666666667,0.5,0.6341463414634146,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.4299999999999998,0.9895093062605753,0.8620689655172413,0.4807692307692308,0.6172839506172839,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.43999999999999984,0.9888324873096447,0.8518518518518519,0.4423076923076923,0.5822784810126582,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.44999999999999984,0.9888324873096447,0.8518518518518519,0.4423076923076923,0.5822784810126582,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.45999999999999985,0.9888324873096447,0.88,0.4230769230769231,0.5714285714285714,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.46999999999999986,0.9888324873096447,0.88,0.4230769230769231,0.5714285714285714,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.47999999999999976,0.9884940778341793,0.875,0.40384615384615385,0.5526315789473685,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.48999999999999977,0.988155668358714,0.8695652173913043,0.38461538461538464,0.5333333333333333,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.4999999999999998,0.988155668358714,0.8695652173913043,0.38461538461538464,0.5333333333333333,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.5099999999999998,0.9878172588832488,0.8636363636363636,0.36538461538461536,0.5135135135135135,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.5199999999999998,0.988155668358714,0.9047619047619048,0.36538461538461536,0.5205479452054794,0.9888179337025358,0.7376011902286215,0.008884308696466293
existing_random_forest,2,0.5299999999999998,0.988155668358714,0.9047619047619048,0.36538461538461536,0.5205479452054794,0.9888179337025358,0.7376011902286215,0.008884308696466293
